Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Category,Sub_Category,Quantity,Sales,Discount,Profit,Return_Status
ORD-100087,2023-11-07,2023-11-10,CUST-1289,PROD-271,Electronics,Laptop,4,35118.9,0.22,-2207.13,No
ORD-100088,2023-11-22,2023-11-26,CUST-1186,PROD-452,Home & Kitchen,Decor,2,12764.43,0.26,3081.83,No
ORD-100089,2024-07-30,2024-08-04,CUST-1067,PROD-293,Electronics,Smartwatch,3,7635.54,0.06,1900.92,No
ORD-100090,2024-10-07,2024-10-12,CUST-1206,PROD-237,Books,Education,5,28141.17,0.07,3932.02,No
ORD-100091,2024-07-26,2024-07-31,CUST-1296,PROD-420,Fashion,Women Clothing,1,17947.71,0.19,3152.81,No
ORD-100092,2024-12-31,2025-01-04,CUST-1069,PROD-258,Books,Education,3,31254.59,0.18,4383.88,No
ORD-100093,2024-02-09,2024-02-11,CUST-1070,PROD-219,Beauty,Makeup,2,42105.57,0.27,1193.01,No
ORD-100094,2024-06-14,2024-06-17,CUST-1160,PROD-200,Books,Fiction,5,9863.21,0.3,-127.29,No
ORD-100095,2024-08-25,2024-08-27,CUST-1070,PROD-399,Books,Fiction,1,6509.13,0.25,1487.33,No
ORD-100096,2023-01-16,2023-01-18,CUST-1145,PROD-363,Fashion,Footwear,4,4897.11,0.14,1117.02,Yes
ORD-100097,2023-03-13,2023-03-17,CUST-1276,PROD-202,Home & Kitchen,Decor,3,2184.4,0.03,493.02,No
ORD-100098,2023-08-21,2023-08-23,CUST-1013,PROD-477,Electronics,Headphones,1,4207.42,0.01,-173.77,No
ORD-100099,2023-10-08,2023-10-11,CUST-1129,PROD-300,Fashion,Women Clothing,2,4343.1,0.3,-112.26,No
ORD-100100,2023-12-03,2023-12-05,CUST-1223,PROD-271,Beauty,Skincare,1,32369.6,0.18,5520.03,No
ORD-100101,2023-10-14,2023-10-17,CUST-1011,PROD-458,Electronics,Mobile,1,37661.0,0.16,3837.64,No
ORD-100102,2024-09-10,2024-09-15,CUST-1013,PROD-297,Home & Kitchen,Cookware,3,3259.45,0.04,803.04,No
ORD-100103,2023-09-20,2023-09-23,CUST-1232,PROD-368,Books,Fiction,4,43973.49,0.09,8875.55,No
ORD-100104,2024-07-27,2024-08-01,CUST-1242,PROD-260,Books,Fiction,4,29289.45,0.08,7221.99,No
ORD-100105,2023-03-23,2023-03-26,CUST-1270,PROD-241,Electronics,Laptop,2,9417.48,0.13,706.29,No
ORD-100106,2024-12-15,2024-12-18,CUST-1050,PROD-271,Books,Fiction,4,42819.15,0.01,7605.82,Yes
ORD-100107,2023-07-29,2023-07-31,CUST-1128,PROD-317,Books,Education,5,16823.34,0.26,3660.8,No
ORD-100108,2024-07-04,2024-07-07,CUST-1076,PROD-427,Home & Kitchen,Furniture,1,8248.64,0.15,1979.99,Yes
ORD-100109,2023-12-31,2024-01-01,CUST-1277,PROD-204,Home & Kitchen,Cookware,5,20827.98,0.06,1970.38,No
ORD-100110,2023-06-18,2023-06-22,CUST-1053,PROD-327,Home & Kitchen,Furniture,3,13362.88,0.1,2303.56,Yes
ORD-100111,2023-12-21,2023-12-25,CUST-1042,PROD-356,Home & Kitchen,Decor,2,28609.85,0.24,1125.11,No
ORD-100112,2024-12-30,2025-01-04,CUST-1166,PROD-250,Home & Kitchen,Furniture,5,40821.46,0.2,8770.18,Yes
ORD-100113,2024-03-22,2024-03-25,CUST-1081,PROD-289,Books,Fiction,2,40299.85,0.04,4027.14,No
ORD-100114,2023-12-17,2023-12-18,CUST-1186,PROD-409,Fashion,Women Clothing,3,46526.33,0.11,-601.06,No
ORD-100115,2023-05-29,2023-05-30,CUST-1142,PROD-401,Home & Kitchen,Decor,1,14616.28,0.01,1214.09,Yes
ORD-100116,2024-11-28,2024-12-03,CUST-1183,PROD-370,Home & Kitchen,Cookware,1,7825.24,0.02,-118.98,No
ORD-100117,2023-06-04,2023-06-06,CUST-1076,PROD-288,Electronics,Laptop,5,44713.27,0.05,7282.22,Yes
ORD-100118,2023-07-04,2023-07-05,CUST-1021,PROD-281,Home & Kitchen,Decor,4,19373.25,0.12,-118.62,No
ORD-100119,2024-01-12,2024-01-17,CUST-1016,PROD-302,Beauty,Makeup,2,11101.42,0.15,1091.29,Yes
ORD-100120,2023-03-02,2023-03-07,CUST-1095,PROD-304,Books,Fiction,5,19084.8,0.07,-1549.74,No
ORD-100121,2024-10-01,2024-10-04,CUST-1211,PROD-248,Fashion,Men Clothing,4,6465.95,0.15,-503.5,No
ORD-100122,2024-08-03,2024-08-05,CUST-1187,PROD-463,Books,Education,2,28797.63,0.01,2901.36,No
ORD-100123,2024-09-08,2024-09-13,CUST-1134,PROD-260,Books,Fiction,3,38601.67,0.02,8456.46,No
ORD-100124,2024-12-20,2024-12-25,CUST-1143,PROD-249,Fashion,Men Clothing,4,5881.21,0.09,667.07,No
ORD-100125,2024-09-18,2024-09-23,CUST-1163,PROD-481,Electronics,Smartwatch,4,43030.76,0.13,4838.92,No
ORD-100126,2023-10-22,2023-10-27,CUST-1132,PROD-470,Books,Education,1,16934.38,0.24,-801.24,No
ORD-100127,2023-05-09,2023-05-14,CUST-1209,PROD-245,Home & Kitchen,Furniture,5,2639.56,0.18,-224.89,No
ORD-100128,2023-08-01,2023-08-03,CUST-1068,PROD-312,Home & Kitchen,Cookware,4,35457.79,0.23,-1056.98,Yes
ORD-100129,2024-09-22,2024-09-24,CUST-1290,PROD-329,Electronics,Laptop,4,41316.06,0.2,377.8,Yes
ORD-100130,2023-11-03,2023-11-06,CUST-1258,PROD-296,Books,Education,1,11435.53,0.24,2696.1,No
ORD-100131,2024-06-24,2024-06-26,CUST-1096,PROD-300,Electronics,Headphones,4,34227.52,0.29,4419.06,No
ORD-100132,2023-10-16,2023-10-17,CUST-1247,PROD-301,Beauty,Makeup,3,37062.7,0.17,2247.16,No
ORD-100133,2023-10-04,2023-10-05,CUST-1157,PROD-447,Books,Fiction,3,28792.31,0.03,3857.04,No
ORD-100134,2023-09-05,2023-09-10,CUST-1041,PROD-295,Electronics,Smartwatch,2,6465.86,0.04,1145.89,No
ORD-100135,2023-12-30,2024-01-01,CUST-1053,PROD-301,Fashion,Men Clothing,5,27324.37,0.0,676.13,No
ORD-100136,2024-07-24,2024-07-29,CUST-1233,PROD-212,Fashion,Women Clothing,4,2017.04,0.01,423.97,Yes
ORD-100137,2023-12-01,2023-12-02,CUST-1026,PROD-248,Home & Kitchen,Furniture,1,1732.53,0.25,-140.76,No
ORD-100138,2024-03-17,2024-03-21,CUST-1234,PROD-412,Fashion,Women Clothing,5,44865.08,0.24,4607.65,No
ORD-100139,2023-12-03,2023-12-05,CUST-1090,PROD-485,Electronics,Headphones,4,30422.88,0.02,1031.37,No
ORD-100140,2024-04-16,2024-04-20,CUST-1055,PROD-307,Electronics,Headphones,1,6174.96,0.03,681.18,No
ORD-100141,2023-02-19,2023-02-21,CUST-1269,PROD-378,Home & Kitchen,Cookware,1,19047.93,0.22,3571.92,Yes
ORD-100142,2023-11-10,2023-11-13,CUST-1152,PROD-497,Fashion,Women Clothing,5,18340.94,0.3,948.69,No
ORD-100143,2023-04-04,2023-04-06,CUST-1035,PROD-413,Fashion,Footwear,1,6748.98,0.17,622.18,No
ORD-100144,2024-03-09,2024-03-14,CUST-1217,PROD-369,Electronics,Headphones,3,14486.26,0.07,9.49,No
ORD-100145,2023-08-06,2023-08-07,CUST-1266,PROD-390,Electronics,Mobile,5,22024.63,0.08,2911.85,No
ORD-100146,2023-03-24,2023-03-26,CUST-1229,PROD-434,Fashion,Footwear,3,31564.09,0.28,10.88,No
ORD-100147,2024-08-29,2024-09-01,CUST-1293,PROD-379,Beauty,Makeup,1,32821.49,0.05,-2401.62,No
ORD-100148,2023-08-05,2023-08-10,CUST-1085,PROD-447,Home & Kitchen,Cookware,1,45369.51,0.11,5765.5,No
ORD-100149,2024-09-13,2024-09-17,CUST-1066,PROD-353,Beauty,Skincare,1,24513.65,0.27,-738.7,No
ORD-100150,2023-12-07,2023-12-10,CUST-1296,PROD-234,Home & Kitchen,Furniture,5,15794.09,0.25,1227.57,No
ORD-100151,2024-08-11,2024-08-12,CUST-1289,PROD-225,Beauty,Skincare,1,30279.86,0.04,-1388.76,No
ORD-100152,2023-05-04,2023-05-08,CUST-1113,PROD-202,Home & Kitchen,Furniture,5,6761.27,0.24,931.75,Yes
ORD-100153,2023-11-11,2023-11-12,CUST-1200,PROD-317,Beauty,Skincare,4,9802.84,0.18,818.03,No
ORD-100154,2023-10-09,2023-10-12,CUST-1219,PROD-345,Home & Kitchen,Furniture,1,48552.76,0.29,3022.9,No
ORD-100155,2024-04-25,2024-04-26,CUST-1195,PROD-457,Books,Education,3,25339.14,0.15,1331.02,No
ORD-100156,2024-09-13,2024-09-16,CUST-1256,PROD-414,Electronics,Mobile,1,45018.18,0.16,9248.3,No
ORD-100157,2024-06-05,2024-06-09,CUST-1292,PROD-202,Fashion,Women Clothing,5,23365.01,0.2,-1989.3,No
ORD-100158,2024-02-05,2024-02-09,CUST-1083,PROD-207,Electronics,Laptop,4,49511.61,0.09,7802.73,No
ORD-100159,2024-05-26,2024-05-28,CUST-1068,PROD-276,Electronics,Smartwatch,5,43953.5,0.25,10410.98,No
ORD-100160,2023-12-20,2023-12-23,CUST-1250,PROD-389,Electronics,Mobile,2,2742.53,0.0,258.88,No
ORD-100161,2024-08-17,2024-08-20,CUST-1185,PROD-339,Beauty,Skincare,3,29042.13,0.25,-1727.63,No
ORD-100162,2023-09-25,2023-09-29,CUST-1134,PROD-208,Books,Education,3,28199.23,0.21,-2094.12,No
ORD-100163,2023-10-26,2023-10-28,CUST-1027,PROD-336,Fashion,Men Clothing,3,10176.02,0.12,-606.72,No
ORD-100164,2024-08-16,2024-08-21,CUST-1084,PROD-498,Books,Education,2,13076.0,0.11,1134.92,No
ORD-100165,2024-10-09,2024-10-13,CUST-1268,PROD-357,Fashion,Men Clothing,1,20590.46,0.23,4684.77,No
ORD-100166,2023-05-06,2023-05-10,CUST-1172,PROD-496,Home & Kitchen,Cookware,2,16888.67,0.08,-562.41,No
ORD-100167,2024-11-04,2024-11-05,CUST-1008,PROD-435,Beauty,Skincare,5,47084.85,0.11,7244.47,No
ORD-100168,2024-11-23,2024-11-27,CUST-1183,PROD-236,Fashion,Women Clothing,1,3970.73,0.12,931.86,No
ORD-100169,2024-02-18,2024-02-20,CUST-1128,PROD-250,Home & Kitchen,Furniture,3,36809.14,0.04,-2200.85,No
ORD-100170,2024-07-22,2024-07-23,CUST-1053,PROD-261,Electronics,Mobile,3,4662.68,0.07,345.18,No
ORD-100171,2023-11-09,2023-11-12,CUST-1209,PROD-240,Beauty,Makeup,2,33263.33,0.12,53.11,No
ORD-100172,2024-02-20,2024-02-24,CUST-1132,PROD-237,Electronics,Smartwatch,1,1516.13,0.17,36.39,No
ORD-100173,2024-10-10,2024-10-14,CUST-1214,PROD-216,Home & Kitchen,Cookware,4,13657.76,0.18,605.7,Yes
ORD-100174,2024-08-07,2024-08-10,CUST-1278,PROD-318,Beauty,Makeup,4,16206.62,0.05,626.6,No
ORD-100175,2024-01-17,2024-01-21,CUST-1226,PROD-273,Fashion,Men Clothing,5,37861.03,0.06,4322.12,No
ORD-100176,2024-04-02,2024-04-03,CUST-1093,PROD-500,Home & Kitchen,Decor,4,5478.46,0.1,945.89,No
ORD-100177,2023-04-27,2023-05-01,CUST-1267,PROD-430,Electronics,Mobile,5,22015.69,0.03,695.11,No
ORD-100178,2023-03-20,2023-03-24,CUST-1118,PROD-363,Fashion,Women Clothing,2,15906.49,0.19,3553.81,No
ORD-100179,2024-03-01,2024-03-05,CUST-1134,PROD-203,Books,Education,5,9176.95,0.02,536.4,No
ORD-100180,2024-09-27,2024-09-28,CUST-1036,PROD-398,Home & Kitchen,Cookware,3,10413.93,0.08,-269.05,Yes
ORD-100181,2023-01-07,2023-01-10,CUST-1194,PROD-400,Home & Kitchen,Cookware,2,35358.66,0.07,-3379.0,Yes
ORD-100182,2024-06-25,2024-06-28,CUST-1273,PROD-402,Fashion,Footwear,4,6701.37,0.04,719.21,No
ORD-100183,2023-04-15,2023-04-19,CUST-1056,PROD-355,Electronics,Mobile,3,23631.52,0.07,-1730.11,No
ORD-100184,2024-05-26,2024-05-29,CUST-1041,PROD-282,Books,Fiction,2,2581.22,0.18,-96.98,No
ORD-100185,2023-09-19,2023-09-20,CUST-1156,PROD-320,Books,Fiction,4,47691.5,0.02,-761.02,No
ORD-100186,2023-12-26,2023-12-30,CUST-1230,PROD-466,Home & Kitchen,Cookware,1,39708.54,0.23,2371.79,No
ORD-100187,2024-11-03,2024-11-05,CUST-1156,PROD-451,Books,Fiction,2,786.34,0.23,142.39,No
ORD-100188,2024-08-19,2024-08-20,CUST-1056,PROD-444,Books,Education,1,36939.63,0.23,-2884.69,No
ORD-100189,2023-03-15,2023-03-16,CUST-1200,PROD-373,Books,Fiction,2,25507.7,0.14,-1038.26,No
ORD-100190,2024-01-31,2024-02-01,CUST-1288,PROD-326,Electronics,Mobile,3,37812.72,0.07,-1985.29,No
ORD-100191,2024-01-03,2024-01-06,CUST-1223,PROD-272,Books,Education,1,41030.54,0.11,5655.89,No
ORD-100192,2023-10-16,2023-10-18,CUST-1189,PROD-202,Books,Education,2,49568.04,0.12,6604.98,No
ORD-100193,2024-07-30,2024-08-02,CUST-1170,PROD-325,Fashion,Footwear,4,16220.87,0.06,408.6,Yes
ORD-100194,2023-11-02,2023-11-03,CUST-1113,PROD-292,Beauty,Makeup,5,18609.5,0.18,4500.3,Yes
ORD-100195,2023-08-31,2023-09-02,CUST-1209,PROD-466,Fashion,Men Clothing,4,39019.15,0.2,7565.63,No
ORD-100196,2023-07-12,2023-07-13,CUST-1063,PROD-390,Books,Education,4,42931.24,0.16,9750.51,No
ORD-100197,2024-03-05,2024-03-08,CUST-1056,PROD-492,Home & Kitchen,Cookware,5,4267.95,0.23,275.9,Yes
ORD-100198,2024-01-20,2024-01-25,CUST-1049,PROD-400,Electronics,Smartwatch,5,8888.99,0.11,789.37,No
ORD-100199,2024-07-10,2024-07-12,CUST-1279,PROD-415,Beauty,Makeup,4,29905.7,0.18,-982.3,Yes
ORD-100200,2023-08-27,2023-08-28,CUST-1126,PROD-414,Electronics,Smartwatch,2,12935.51,0.11,1357.39,No
ORD-100201,2023-02-19,2023-02-20,CUST-1278,PROD-201,Books,Education,3,44360.54,0.01,4889.3,No
ORD-100202,2024-07-08,2024-07-10,CUST-1102,PROD-394,Books,Fiction,2,17982.28,0.15,2505.6,Yes
ORD-100203,2023-05-16,2023-05-17,CUST-1083,PROD-378,Home & Kitchen,Furniture,3,7622.6,0.07,70.46,No
ORD-100204,2023-03-14,2023-03-18,CUST-1011,PROD-366,Home & Kitchen,Decor,4,34553.58,0.09,6021.29,Yes
ORD-100205,2024-02-10,2024-02-11,CUST-1163,PROD-434,Home & Kitchen,Cookware,1,31269.66,0.0,1220.53,No
ORD-100206,2023-06-08,2023-06-10,CUST-1078,PROD-287,Fashion,Footwear,3,6703.65,0.26,357.43,No
ORD-100207,2024-07-12,2024-07-13,CUST-1136,PROD-468,Fashion,Footwear,2,1232.78,0.01,180.12,No
ORD-100208,2024-01-23,2024-01-24,CUST-1042,PROD-250,Electronics,Smartwatch,5,35904.57,0.05,5802.81,No
ORD-100209,2024-07-10,2024-07-14,CUST-1199,PROD-330,Home & Kitchen,Furniture,4,45599.22,0.18,8625.02,No
ORD-100210,2023-12-23,2023-12-27,CUST-1210,PROD-495,Books,Fiction,3,3810.7,0.04,596.51,No
ORD-100211,2023-02-25,2023-03-01,CUST-1123,PROD-363,Beauty,Makeup,3,16417.84,0.1,-1510.87,No
ORD-100212,2024-08-12,2024-08-13,CUST-1095,PROD-207,Beauty,Makeup,3,9990.56,0.21,756.08,No
ORD-100213,2024-04-23,2024-04-27,CUST-1080,PROD-406,Beauty,Makeup,2,16510.56,0.19,-68.79,Yes
ORD-100214,2024-08-07,2024-08-12,CUST-1229,PROD-248,Fashion,Men Clothing,1,11949.25,0.17,466.84,No
ORD-100215,2023-06-25,2023-06-29,CUST-1088,PROD-358,Home & Kitchen,Decor,4,5134.82,0.06,1204.75,No
ORD-100216,2023-10-17,2023-10-19,CUST-1289,PROD-393,Books,Fiction,2,39728.01,0.17,7692.15,No
ORD-100217,2024-05-23,2024-05-24,CUST-1288,PROD-253,Home & Kitchen,Cookware,1,38645.81,0.06,8793.94,No
ORD-100218,2023-10-18,2023-10-19,CUST-1217,PROD-254,Fashion,Women Clothing,2,7715.59,0.14,-49.55,No
ORD-100219,2023-05-18,2023-05-19,CUST-1066,PROD-278,Fashion,Women Clothing,1,47762.91,0.16,-200.21,No
